scenario_id,category,user_scenario,expected_type
S01,wireless earbuds,무선 이어폰 사고 싶은데 유튜브 리뷰만 2시간 봤어요. 예산은 15만 원인데 더 헷갈려요.,선택피로형
S02,tablet,아이패드 살지 갤럭시탭 살지 며칠째 고민 중이에요. 필기랑 영상용이에요.,후회 회피형
S03,laptop,대학원생인데 가벼운 노트북이 필요해요. 그런데 모델이 너무 많아서 못 고르겠어요.,선택피로형
S04,cosmetics,파운데이션 후기를 너무 많이 봐서 뭐가 제 피부에 맞는지 모르겠어요.,완벽주의형
S05,smartwatch,애플워치랑 갤럭시워치 비교 영상을 계속 봤는데 결정이 안 돼요.,후회 회피형
S06,headphones,노이즈캔슬링 헤드폰 사고 싶은데 가격 차이가 커서 고민돼요.,가성비형
S07,hotel,호텔 후기를 너무 많이 읽어서 오히려 다 단점만 보여요.,후회 회피형
S08,chair,허리 편한 의자 찾는데 리뷰가 다 달라서 못 고르겠어요.,선택피로형
S09,air purifier,비싼 제품이 좋을 것 같긴 한데 돈 낭비일까 봐 걱정돼요.,후회 회피형
S10,microwave,그냥 할인하는 거 바로 사도 될까요? 귀찮아서 빨리 사고 싶어요.,충동형
S11,power bank,가격 싼 것 중에서 괜찮은 걸 사고 싶은데 종류가 너무 많아요.,가성비형
S12,perfume,향수 추천 영상을 많이 봤는데 다 좋아 보여서 선택을 못 하겠어요.,완벽주의형
S13,camera,입문용 카메라를 사고 싶은데 스펙 비교가 너무 어려워요.,선택피로형
S14,running shoes,러닝화 사고 싶은데 브랜드마다 장점이 달라서 결정이 안 돼요.,선택피로형
S15,monitor,논문 작업용 모니터를 사야 하는데 크기랑 해상도 때문에 계속 고민 중이에요.,완벽주의형
S16,keyboard,기계식 키보드 사고 싶은데 축 종류가 너무 많아서 헷갈려요.,선택피로형
S17,bag,비싼 가방을 사도 오래 쓸 수 있을지 모르겠어요.,후회 회피형
S18,vacuum cleaner,무선청소기 비교하다가 결국 뭐가 좋은지 모르겠어요. 예산은 30만 원이에요.,가성비형
S19,coffee machine,홈카페용 커피머신 사고 싶은데 너무 고르면 후회할까 봐 걱정돼요.,후회 회피형
S20,gift,친구 생일 선물 골라야 하는데 실패할까 봐 계속 검색만 하고 있어요.,후회 회피형
